id,NPRO,DPRO,TVEH,CORT,REEM,UBIC,STOC,PCUR,PEND,DIFE,FUEN,FUSA,ZDOC,BPCL,PDUM,PDUA,BPNC,CPRO,FAM1,FAMI,NPRV,CADU,VTPR,VT00,VT01,VT02,VT03,VT04,VT05,VT06,VT07,VT08,VT09,VT10,VT11,VT12,VT13,VT14,VT15,VT16,VT17,VT18,VT19,VT20,VT21,VT22,VT23,VT24
1118,7700676836,MANGUERA          63,,1121,,190304,12,0,0,0,1998-05-07,1998-09-30,,11878.00,2642.93,2232.17,7127.00,SS8,,549,13,148,1.58,0,0,0,3,0,0,3,0,0,0,6,0,0,4,9,0,2,0,3,4,0,0,4,0,0
1119,7700676914,CONDENSADOR       22,,1121,,,0,0,0,0,0000-00-00,0000-00-00,,5988.00,0.00,0.00,3593.00,,,609,11,559,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,7700676983,SOPORTE VASO EXPAN63,,1111,,150407,2,0,0,0,1998-10-31,1998-07-27,,10152.00,1703.01,762.14,6599.00,NV2,,994,11,130,0.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,7700677029,ESTOPERA          73,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,3685.00,0.00,0.00,2395.00,,,465,11,493,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,7700677107,CERRADURA RESPALD.63,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,17186.00,0.00,0.00,11171.00,,,997,11,310,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,7700677125,PISTON FRENO   63/42,,1111,,180104,1,0,0,0,0000-00-00,0000-00-00,,54432.00,10043.55,4494.73,35381.00,,,572,11,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,7700677540,SOPORTE BASE INF. 41,,1611,,,0,0,0,0,0000-00-00,0000-00-00,,13575.00,0.00,0.00,8824.00,,,55,11,685,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,7700677613,MANGUERA CALEFACC 41,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,47853.00,0.00,0.00,31104.00,,,540,13,148,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,7700677733,SOPORTE ESCAPE    21,,1111,7700794032,,0,0,0,0,0000-00-00,0000-00-00,EX 7700794032,3099.00,0.00,0.00,2014.00,,,36,11,42,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,7700677758,RETEN ROLINERA    73,,1111,,130505,6,0,0,0,1996-05-29,1996-05-29,,1935.00,385.32,172.44,1258.00,NV2,,465,11,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,7700677834,SOPOR BASE MOTOR D50,,1611,,,0,0,0,0,0000-00-00,0000-00-00,,47686.00,0.00,0.00,30996.00,,,994,11,688,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,7700677836,SOPORTE BASE MOT  50,,1611,,,0,0,0,0,0000-00-00,0000-00-00,,46290.00,0.00,0.00,30089.00,,,55,11,688,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,7700677837,SOPORTE SUP CAJA  41,,1611,,,0,0,0,0,0000-00-00,0000-00-00,,29885.00,0.00,0.00,19425.00,,,55,11,688,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,7700677838,SOPORT.BASE MOTOR 50,,1611,,70307,5,0,0,0,0000-00-00,0000-00-00,,30996.00,7068.80,3163.46,20147.00,NV2,,55,11,688,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,7700677839,SOPORTE MOTOR IZQ.41,,1611,,130308,5,0,0,0,1998-10-31,1998-02-27,,34884.00,7952.40,3558.89,22675.00,NV2,,994,11,643,0.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,7700678049,TUBO FILTRO       63,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,12102.00,0.00,0.00,7866.00,,,510,11,148,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,7700678204,CAJA PALANCA      75,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,21873.00,0.00,0.00,14217.00,,,993,11,688,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,7700678542,SOP. BASE MOT  73/42,,1111,,190404,1,0,0,0,1997-05-19,1997-05-19,,18726.00,3506.19,0.00,12172.00,NV1,,55,11,,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1136,7700678564,PIÑON TERCERA     73,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,78944.00,0.00,0.00,51314.00,,,79,11,649,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,7700678565,PIÑON CUARTA      73,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,107104.00,0.00,0.00,69618.00,,,79,11,649,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,7700678649,GUARDAPOLVO DIRECC73,,1111,7701469497,50108,8,0,0,0,1996-07-12,1996-07-12,,14550.00,1339.80,599.59,9457.00,GG8,,139,11,637,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,7700678712,CONDUCTO AIRE CARB63,,1111,,530403,4,0,0,0,0000-00-00,0000-00-00,,50004.00,11383.40,5094.34,32503.00,NV2,,510,11,115,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,7700678723,PALANCA FRENO     73,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,0.00,0.00,0.00,0.00,,,175,11,709,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,7700678762,INTERRUPTOR SEG75/73,,1111,,70205,1,0,0,0,1998-06-08,1998-06-12,,22922.00,5877.76,2283.36,14899.00,,,688,11,562,0.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,7700678763,INTERRUPTOR TECHO 75,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,19260.00,0.00,0.00,12519.00,,,688,11,562,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,7700678810,PASADOR SELECTOR  73,,1111,,130206,2,0,0,0,1997-05-06,1998-09-10,,2052.00,349.09,156.23,1334.00,NV2,,993,11,259,0.33,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0
1144,7700678814,BASE CAJA IZQ: 73/42,,1611,,,0,0,0,0,0000-00-00,0000-00-00,,10421.00,0.00,0.00,6774.00,,,55,11,643,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,7700678815,BASE TRASERA CAJA 73,,1611,,,0,0,0,0,0000-00-00,0000-00-00,,12837.00,0.00,0.00,8344.00,,,55,11,643,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,7700678839,FARO DERECHO      41,,1511,,130709,3,0,0,0,0000-00-00,0000-00-00,,115128.00,23204.51,10384.58,74833.00,NV2,,632,11,541,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,7700678840,FARO IZQUIERDO    41,,1511,,540404,4,0,0,0,0000-00-00,0000-00-00,,115128.00,21832.41,9770.53,74833.00,NV2,,632,11,541,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,7700678866,REJILLA PARACHOQUE63,,1111,,500303,2,0,0,0,0000-00-00,0000-00-00,,10584.00,646.29,289.23,6880.00,NV2,,996,11,169,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,7700678909,CHAPA TRASERA IZQ:42,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,21724.00,0.00,0.00,14121.00,,,995,11,643,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,7700678931,MANGUERA          63,,1121,,170803,17,0,0,0,1998-08-03,1998-10-06,,11878.00,2693.17,1406.30,7127.00,,,549,13,142,6.21,0,0,1,5,7,3,4,13,2,8,13,2,6,18,4,0,2,13,14,11,6,0,2,15,0
1151,7700678964,SOPORTE MOTOR DER 63,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,32885.00,0.00,0.00,21375.00,,,994,11,643,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,7700678965,SOPORTE MOTOR DER 63,,1611,,150604,4,0,0,0,0000-00-00,0000-00-00,,159300.00,36143.00,16174.86,103545.00,NV2,,55,11,643,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,7700679022,BOCINA            41,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,842.00,0.00,0.00,547.00,,,993,11,649,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,7700679052,SUJETADOR         50,,1611,,,0,0,0,0,0000-00-00,0000-00-00,,7050.00,0.00,0.00,4582.00,,,994,11,637,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,7700679059,BUJE           21/T4,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,13950.00,0.00,0.00,9067.00,,,469,11,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,7700679144,MANGUERA CARB: 73/42,,1111,,60506,2,0,0,0,1998-04-21,1998-10-05,,8884.00,2552.72,1088.87,5775.00,SS8,,547,11,142,0.25,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
1157,7700679184,GOMA  PLATINA ESTR63,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,25674.00,0.00,0.00,16688.00,,,997,11,637,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,7700679185,CHAPA LATERAL DER 63,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,24925.00,0.00,0.00,16201.00,,,997,11,169,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,7700679238,PUNTA IZQ      42/73,,1111,,500203,4,0,0,0,0000-00-00,0000-00-00,,28728.00,6532.99,2923.67,18673.00,NV2,,221,11,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,7700679281,FLOTANTE GASOLINA 75,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,67243.00,0.00,0.00,43708.00,,,690,11,361,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,7700679328,SOPORTE SELECTOR  21,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,11082.00,0.00,0.00,7203.00,,,993,11,652,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,7700679329,PIÑON             41,41,1111,,1-0105,6,0,0,0,1997-10-17,1997-05-22,,8554.00,2196.18,982.84,5560.00,GG8,,80,11,649,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1163,7700679331,EJE               41,,1111,,70406,1,0,0,0,1998-06-08,1998-10-28,,6480.00,1513.89,588.11,4212.00,,,80,11,649,1.04,0,0,4,1,0,0,0,0,0,4,0,0,0,1,0,3,0,0,3,1,2,1,5,0,0
1164,7700679612,GUIA CERRADURA    75,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,17587.00,0.00,0.00,11432.00,,,308,11,319,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,7700679617,TOPE DE GOMA      73,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,1602.00,0.00,0.00,1041.00,,,994,11,637,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,7700679618,TOPE DE GOMA,21,1111,,1-0305,20,0,0,0,1997-07-03,1998-08-11,,1668.00,282.00,126.20,1084.00,GG8,,297,11,637,0.29,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0
1167,7700679621,RETEN  GUAYA      73,,1111,7701467393,,0,0,0,0,0000-00-00,0000-00-00,,11575.00,0.00,0.00,7524.00,,,994,11,655,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,7700679656,JUNTA CUERPO VALV 63,,1111,,100507,5,0,0,0,1998-08-03,1998-09-10,,9071.00,2445.59,1027.20,5896.00,,,572,11,484,1.38,0,0,0,4,0,0,0,4,0,3,1,0,2,0,5,2,1,1,0,5,0,0,5,0,0
