ID;Nombre;Pr;Vehicle Type;Motor;Engine Index;Engine Type;Gearbox Type
86;Logan Sandero I;0601;KS0D;K7M710;K7M710;K7M;JH3
87;Logan Sandero I;0601;KS0D;K7M718;K7M718;K7M;JR5
88;Logan Sandero I;0601;KS0D;K7M718;K7M718;K7M;JH3
89;Logan Sandero I;0601;KS0E;K7J710;K7J710;K7J;JH3
90;Logan Sandero I;0601;KS0F;K7M710;K7M710;K7M;JH3
91;Logan Sandero I;0601;KS0F;K7M710;K7M710;K7M;JR5
92;Logan Sandero I;0601;KS0F;K7M718;K7M718;K7M;JR5
93;Logan Sandero I;0601;KS0F;K7M718;K7M718;K7M;JH3
94;Logan Sandero I;0601;KS0G;K7J710;K7J710;K7J;JH3
95;Logan Sandero I;0601;KS0H;K7M710;K7M710;K7M;JR5
96;Logan Sandero I;0601;KS0H;K7M710;K7M710;K7M;JH3
97;Logan Sandero I;0601;KS0J;K9K794;K9K794;K9K;JR5
98;Logan Sandero I;0601;KS0K;K9K792;K9K792;K9K;JR5
99;Logan Sandero I;0601;KS0L;K4M690;K4M690;K4M;JR5
100;Logan Sandero I;0601;KS0L;K4M697;K4M697;K4M;DP0
101;Logan Sandero I;0601;KS0M;K4M690;K4M690;K4M;JR5
102;R4 (from 1983);1104;1123;B1B707;B1B707;B1B;HA0
103;R4 (from 1983);1104;1128;688712;688712;688;HA0
104;R4 (from 1983);1104;1128;C1E714;C1E714;C1E;HA0
105;R4 (from 1983);1104;1128;C1E719;C1E719;C1E;HA0
106;R4 (from 1983);1104;2106;B1B707;B1B707;B1B;HA0
107;R4 (from 1983);1104;2370;688711;688711;688;HA0
108;R4 (from 1983);1104;2370;C1E714;C1E714;C1E;HA0
109;R4 (from 1983);1104;2370;C1E718;C1E718;C1E;HA0
110;R4 (from 1983);1104;2370;C1E719;C1E719;C1E;HA0
111;R4 (from 1983);1104;112C;C1C708;C1C708;C1C;HA0
112;R4 (from 1983);1104;210B;C1E718;C1E718;C1E;HA0
113;R4 (from 1983);1104;210B;C1E719;C1E719;C1E;HA0
114;R4 (from 1983);1104;239B;C1E718;C1E718;C1E;HA0
115;R4 (from 1983);1104;239B;C1E719;C1E719;C1E;HA0
116;R4 (from 1983);1104;S128;688712;688712;688;HA0
117;R5 New;1120;C400;C1C700;C1C700;C1C;JB0
118;R5 New;1120;C400;C1C700;C1C700;C1C;JB1
119;R5 New;1120;C400;C1C700;C1C700;C1C;JB4
120;R5 New;1120;C400;C1C700;C1C700;C1C;JB5
121;R5 New;1120;C401;C1E750;C1E750;C1E;JB4
122;R5 New;1120;C401;C1E750;C1E750;C1E;JB5
123;R5 New;1120;C401;C1E752;C1E752;C1E;JB4
124;R5 New;1120;C401;C1E752;C1E752;C1E;JB5
125;R5 New;1120;C401;C1E760;C1E760;C1E;JB0
126;R5 New;1120;C401;C1E760;C1E760;C1E;JB1
127;R5 New;1120;C401;C1E760;C1E760;C1E;JB4
128;R5 New;1120;C401;C1G720;C1G720;C1G;JB4
129;R5 New;1120;C401;C1G720;C1G720;C1G;JB5
130;R5 New;1120;C402;C1J768;C1J768;C1J;JB5
131;R5 New;1120;C403;C2J700;C2J700;C2J;JB5
132;R5 New;1120;C403;C2J780;C2J780;C2J;JB5
133;R5 New;1120;C403;C2J781;C2J781;C2J;MB1
134;R5 New;1120;C403;C2J788;C2J788;C2J;JB5
