ID;NPRO;DPRO;TVEH;ZDOC;REEM;CPRO;CORT;UBIC;STOC;PCUR;PEND;DIFE;FUEN;FUSA;BPCL;BPNC;PDUM;PDUA;FAM1;FAMI;NPRV;CADU
4209;7700820555;GUAYA CAPOT       TW;TW;;;;1111;12-0103;1;0;0;1;1996-04-04;1998-10-28;22244;14458.6;7785.4;1512.61;0.65;733;11;610
4210;7700820618;SOPORTE CENT.BAST.B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;47686;30995.9;16690.1;0;0.65;994;11;643
4211;7700820695;SOPORTE CONTACTO  BY;BY;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;2755;1790.75;964.25;0;0.65;763;11;169
4212;7700820696;PANTALLA          19;19;;;OO8;1181;7-0104;1;0;0;0;1996-04-04;1996-04-04;4007;801.4;3205.6;225.55;0.2;783;11;325
4213;7700820697;SURTIDOR AGUA L/P 19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;47349;30776.85;16572.15;0;0.65;876;11;688
4214;7700820852;GUIA SEGURO PTA   TW;TW;;;;1111;4-0906;1;0;0;0;1996-10-23;1996-10-23;1881;1222.65;658.35;176.68;0.65;0;11;688
4215;7700821013;GUAYA CAPOT       BY;BY;;;SS8;1111;16-0201;2;0;0;0;1996-07-11;1996-07-11;20642;13417.3;7224.7;1247.8;0.65;733;11;232
4216;7700821014;GUAYA CERRADURA.  19;19;;;;1111;21-0404;1;0;0;0;1998-03-03;1997-10-07;20642;13417.3;7224.7;1684.79;0.65;733;11;232
4217;7700821017;CERRADURA CAPOT   TW;TW;;;;1111;2-0803;2;0;0;0;1998-05-26;1998-07-15;20187;13121.55;7065.45;4279.06;0.65;306;11;
4218;7700821027;GOMA PTA.  IZQ    TW;TW;;;;1111;;1;0;0;0;1998-09-11;1998-09-11;45559;29613.35;15945.65;8478.06;0.65;378;11;
4219;7700821028;GOMA DE VID. PTA. TW;TW;;;;1111;57-0104;1;0;0;0;1998-07-13;1998-07-13;28997;18848.05;10148.95;2888.22;0.65;;11;
4220;7700821029;GOMA VID TRA DER  TW;TW;;;;1111;36-0203;1;0;0;0;1997-12-18;1998-09-24;29211;18987.15;10223.85;4569.51;0.65;362;11;
4221;7700821030;EMPAQUE PUERTA    TW;TW;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;40091;26059.15;14031.85;0;0.65;378;11;
