ID;NPRO;DPRO;TVEH;CORT;REEM;UBIC;STOC;PCUR;PEND;DIFE;FUEN;FUSA;ZDOC;BPCL;PDUM;PDUA;BPNC;CPRO;FAM1;FAMI;NPRV;CADU
1691;7700730077;FILTRO ACEITE     SP;;1121;;0;0;0;0;0;;;;12510;0;0;7506;;;501;13;415
1692;7700730078;FILTRO ACEITE     SP;;1111;;0;0;0;0;0;;;;0;0;0;0;;;501;13;
1693;7700730093;SELLO CAJA        19;;1121;;50406;1;0;0;0;1997-08-19;1997-06-03;                   *;2615;61193;27385;1569;GG8;;17;11;688
1694;7700730116;DISTRIBUIDOR      21;;1121;;30308;1;0;0;0;1998-08-03;1998-03-30;;86214;2133028;904345;51728;NV1;;607;11;514
1695;7700730178;DISCO EMBRAG43/63/21;;1121;;190102;1;0;0;0;;;;110678;2069881;926321;66407;;;561;11;655
1696;7700730215;SOPORTE DE BOMBA  21;;1111;;150204;1;0;0;0;;;;31933;476467;21323;20756;;;991;11;688
1697;7700730352;MANGUERA CONDUCT  22;;1111;;200503;0;0;0;0;1998-09-30;1998-10-06;;52040;144227;522989;33826;;;510;11;148
1698;7700730465;PISTON F1        AX4;;1121;;20107;1;0;0;0;1997-11-06;1998-10-16;                   *;52812;1390673;62236;31687;;;572;11;
1699;7700730495;GUAYA MANDO VELOC.63;;1111;;0;0;0;0;0;;;;70444;0;0;45789;;;825;11;232
1700;7700730530;SEGMENTO;;1111;;150405;12;0;0;0;;;                   *;2808;3944;1765;1825;NV2;;572;11;
1701;7700730540;TERMOSTATO        TW;;1111;;50705;2;0;0;0;1998-09-10;1998-07-17;;17440;483475;27908;11336;;;519;11;
1702;7700730561;ADORNO RUEDA      LY;;1171;;80806;3;0;0;0;;;;7501;120296;53835;2250;OO8;;339;11;
1703;7700730615;BRIDA CAPTADOR    22;;1161;;10706;2;0;0;0;;;;1911;47211;21128;764;OO8;;993;11;274
1704;7700730636;TANQUE GASOLINA   T4;;1111;;0;0;0;0;0;;;;309125;0;0;200931;;;487;11;118
1705;7700730643;JUNTA;;1121;;150906;2;0;0;0;;;;3564;7332;32812;2138;NV2;;508;11;
1706;7700730668;SOPORTE COMPRESOR 21;;1111;;250102;1;0;0;0;;;;84067;1251081;559889;54644;;;109;11;688
1707;7700730687;POLEA CIGUEÃ‘AL.43/63;;1111;;530503;4;0;0;0;;1998-05-13;;64109;660945;295789;41671;NV2;;9;11;472
1708;7700730690;CHAPA BOMBA       21;;1111;;0;0;0;0;0;;;;19469;0;0;12655;;;991;11;169
1709;7700730709;NIPLE DE BOMBA    21;;1111;;0;0;0;0;0;;;REF.INEXISTENTE FCIA;0;0;0;0;;;991;11;229
1710;7700730729;DISTRIBUIDOR      21;;1121;;0;0;0;0;0;;;;0;0;0;0;;;607;11;514
1711;7700730733;BUJE BALLESTA     T4;;1111;;0;0;0;0;0;;;;13108;0;0;8520;;;461;11;637
1712;7700730998;REGULADOR DE PRES.42;;1111;;0;0;0;0;0;;;;156454;0;0;101695;;;558;11;222
1713;7700731057;CAPTADOR TEMPERAT.21;;1111;;100205;2;0;0;0;1998-06-08;1998-08-14;;42215;1142203;441877;27440;;;96;11;361
1714;7700731093;TUBO CARBURADOR   19;;1111;;120205;1;0;0;0;1998-06-16;1998-07-10;;2399;61418;21919;1559;;;48;11;
1715;7700731155;PIÃ‘ON 2DA.        73;;1111;;0;0;0;0;0;;;;107104;0;0;69618;;;79;11;649
1716;7700731258;SOPORTE TUBERIA   21;;1111;;0;0;0;0;0;;;;13532;0;0;8796;;;991;11;325
1717;7700731294;NIPLE FILTRO ACEI.19;;1111;;0;0;0;0;0;;;;0;0;0;0;;;49;11;229
1718;7700731309;MANGUERA          21;;1111;;0;0;0;0;0;;;;1690;0;0;1098;;;991;13;148
1719;7700731458;VARILLA ACEITE 63/21;;1111;;110304;3;0;0;0;1998-10-06;1998-08-17;;14450;396861;275084;9392;;;19;11;373
1720;7700731486;TUERCA CORONA     19;;1111;;50306;20;0;0;0;1998-08-05;;;13976;374561;130567;9084;;;993;11;2543
1721;7700731631;CARTER FILTR AIRE 21;;1111;;220601;0;0;0;0;1997-05-02;1998-06-17;;100116;2066841;924961;65075;NV2;;513;11;415
1722;7700731651;UNION MANGUERA    21;;1111;;70505;3;0;0;0;;;;4320;72649;32512;2808;NV2;;48;11;115
1723;7700731690;ARANDELA CAJA  73/42;;1111;;150706;10;0;0;0;;;;1840;5142;23012;1196;NV1;;465;11;
1724;7700731789;CORREA ALTERNADOR 73;;1421;;270303;10;0;0;0;1998-08-03;1998-10-20;;6107;11743;56027;3664;;;503;13;151
